id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
91,Punta del Este,[],,Uruguay,URY,South America,-34.9632342,-54.9439981,0.0,18200,3384688.0,14.8,98.63,167.94,36.2,40.0,0.0,"[eFPNaVIgcfM,dgUi7xUpqCA]","[[0],[0]]","[[568],[0]]","[[2294],[1874]]","[0,0]","[24022021,9012022]","[UCmlJnQbQ9kjXPeMzcgrGe2g,UCmlJnQbQ9kjXPeMzcgrGe2g]"
92,Quito,[],,Ecuador,ECU,South America,-0.2201641,-78.5123274,0.0,2781641,18289896.0,20.1,94.49,161.28,27.7,45.9,0.0,"[93Un5IyjT04,lBJd6ISEIaE]","[[0],[0]]","[[0],[0]]","[[416],[3184]]","[0,0]","[21012021,20012021]","[UCzWHhFm8iRJMi3lsZ2uwsLQ,UCzWHhFm8iRJMi3lsZ2uwsLQ]"
93,Paramaribo,[],,Suriname,SUR,South America,5.8241765,-55.1662813,0.0,223757,639850.0,15.3,94.87,168.39,31.6,39.2,0.0,"[ilZCEL4iBz0,MRjcHfXA4x4]","[[0],[0]]","[[0],[28]]","[[2322],[1306]]","[0,0]","[17032024,28052022]","[UC4bnXbYsdrr_AkwAuVGUuBA,UC4bnXbYsdrr_AkwAuVGUuBA]"
94,Asunción,[Asuncion],,Paraguay,PRY,South America,-25.2800459,-57.6343814,0.0,1482200,7013078.0,22.0,95.42,166.78,31.3,44.2,0.0,"[ukQmtKk90Q0,4claNTQzz68]","[[0],[0]]","[[15],[15]]","[[2439],[1191]]","[0,0]","[1082021,8122021]","[UCNnsWJsSZIeQHXruukfQR_Q,UCNnsWJsSZIeQHXruukfQR_Q]"
95,Georgetown,[],,Guyana,GUY,South America,6.8137426,-58.1624465,0.0,235017,835986.0,22.3,84.21,165.86,27.9,45.1,0.0,"[tktOLvwDXnE,k3QFxHixqVg]","[[0],[0]]","[[4510],[485]]","[[7846],[749]]","[0,0]","[23102022,31102022]","[UCSMCv9FDp2R9_p1e0k61KwQ,UCSMCv9FDp2R9_p1e0k61KwQ]"
96,Sydney,[],NSW,Australia,AUS,Oceania,-33.8698439,151.2082848,398.037,5231147,27614411.0,4.9,0.0,171.72,38.9,33.8,163.0,[q21Kj-pxJW4],[[0]],[[23]],[[3623]],[0],[21112023],[UCBcVQr-07MH-p9e2kRTdB3A]
97,Auckland,[],,New Zealand,NZL,Oceania,-36.853153,174.6372284,81.227,417910,5324700.0,9.6,0.0,171.19,37.7,0.0,135.4,"[HdEMxWMXgPQ,WdLXsvPT9VU]","[[0],[0]]","[[27],[360]]","[[3468],[519]]","[0,0]","[8122023,14112023]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
98,Nouméa,[Noumea],,New Caledonia,NCL,Oceania,-22.2745264,166.442419,0.0,93060,295333.0,,96.78,171.55,33.9,,0.0,"[vyLdL8YshDo,M3I0I6YDKOM]","[[0],[0]]","[[505],[464]]","[[1450],[3119]]","[0,0]","[11072024,18072024]","[UCy-6zqa18JXf91hOuDXScgA,UCy-6zqa18JXf91hOuDXScgA]"
99,Nadi,[],,Fiji,FJI,Oceania,-17.7992725,177.4178549,0.0,42284,933154.0,13.5,,169.13,31.2,30.7,0.0,"[dFBUd20pVKU,0Lg0Ibkl79M]","[[0,0],[0]]","[[10,1203],[1026]]","[[804,2401],[2634]]","[0,0]","[25072024,31072024]","[UCy-6zqa18JXf91hOuDXScgA,UCy-6zqa18JXf91hOuDXScgA]"
100,Tumon,[],,Guam,GUM,Oceania,13.5174369,144.8106131,0.0,19685,168999.0,,99.42,166.6,30.1,,0.0,"[lwQqMHk-O4Q,dqLNIajouZ0,bl3pAonXHEE,VBy4f1RVF3k]","[[0],[0],[0],[0]]","[[0],[0],[0],[964]]","[[1006],[197],[1255],[2106]]","[0,0,0,0]","[2072023,23072023,23022024,19062023]","[UCkfzn70mlFtIXf5Pw31xhkg,UCkfzn70mlFtIXf5Pw31xhkg,UCkfzn70mlFtIXf5Pw31xhkg,UCkfzn70mlFtIXf5Pw31xhkg]"
