id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
25,Hong Kong,[Kowloon],,Hong Kong,HKG,Asia,22.306726,114.175941,406.775,7491609,7498900.0,0.0,0.0,167.73,46.8,0.0,146.7,[arbVnYJfZLU],[[0]],[[16]],[[3616]],[0],[22102025],[UCBcVQr-07MH-p9e2kRTdB3A]
26,Mumbai,[Bombay],MH,India,IND,Asia,18.938771,72.835335,277.98,12691836,1463865525.0,15.6,85.69,160.84,29.5,25.5,204.6,[_Wb1ASZ4rBA],[[0]],[[23]],[[3623]],[0],[23012022],[UCBcVQr-07MH-p9e2kRTdB3A]
27,Manila,[],,Philippines,PHL,Asia,14.590622,120.97997,162.3,1600000,116786962.0,12.0,98.41,159.69,25.4,39.3,177.9,[2tfyoN70EHo],[[0]],[[49]],[[3649]],[0],[17012024],[UCBcVQr-07MH-p9e2kRTdB3A]
28,Taipei,[],,Taiwan,TWN,Asia,25.0479308,121.5170046,407.838,7871900,,,,167.11,42.5,,120.4,[P8Uh9f0EaU8],[[0]],[[20]],[[3620]],[0],[29042023],[UCBcVQr-07MH-p9e2kRTdB3A]
29,Bangkok,[],,Thailand,THA,Asia,13.752494,100.493509,252.128,5104476,71619863.0,32.2,90.67,165.51,40.0,33.3,170.5,[GuyazY5xtuI],[[0]],[[26]],[[3626]],[0],[4042020],[UCBcVQr-07MH-p9e2kRTdB3A]
30,Doha,[],,Qatar,QAT,Asia,25.2856329,51.5264162,0.0,344939,2972215.0,7.3,97.79,166.99,34.2,35.1,29.63,[Jc7iFhpo8dM],[[0]],[[32]],[[3632]],[0],[26112024],[UCBcVQr-07MH-p9e2kRTdB3A]
31,Istanbul,[İstanbul],,Türkiye,TUR,Asia,41.006381,28.9758715,275.365,14804116,85878556.0,6.7,99.26,169.08,33.5,43.7,188.93,[RKIPWCWldzE],[[0]],[[26]],[[3626]],[0],[20112020],[UCBcVQr-07MH-p9e2kRTdB3A]
32,Seoul,[],,South Korea,KOR,Asia,37.5545547,126.9707793,878.535,10349312,51684564.0,8.6,98.32,169.37,43.7,32.9,148.4,"[DlLqFGoNFZ8,WzXi7amY4rc]","[[0],[0]]","[[0],[20]]","[[551],[3069]]","[0,0]","[3022023,26012023]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
33,Kuala Lumpur,"[KL,KLCC]",,Malaysia,MYS,Asia,3.151696,101.694237,59.831,1453975,35977838.0,22.5,96.82,163.13,30.3,40.7,170.2,"[AxQcSoA9vGQ,ePVXT8qOhJY]","[[0],[0]]","[[23],[27]]","[[3140],[510]]","[0,0]","[3012024,27012024]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
34,Jakarta,[],,Indonesia,IDN,Asia,-6.175394,106.827183,323.03,8540121,285721236.0,11.3,97.45,160.31,31.2,34.4,191.4,"[gmDBzijaIAA,3ekXQoPqgjI]","[[0],[0]]","[[29],[34]]","[[2968],[695]]","[0,0]","[22122023,11012024]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
